id,timestamp,user_id,username,source,query,response,from_cache,response_time_ms,created_at
11,2026-09-10T12:42:28.221814,123456789,user_***,telegram,Позови менеджера,"Здравствуйте! Я передам ваш запрос менеджеру, и он свяжется с вами в ближайшее время. Если у вас есть какие-то конкретные вопросы или пожелания, не стесняйтесь сообщить! 😊📞

Источник: https://goldapple.ru/brands/pour-de-beau?referer=search_brand&search_term=POUR+DE+BEAU&p=1/",0,11409,2026-09-10 09:42:28
12,2026-09-10T12:43:18.547634,123456789,user_***,telegram,Брак,"Здравствуйте! Если у вас возникли проблемы с бракованным товаром, пожалуйста, свяжитесь с нашим менеджером для решения этого вопроса. Мы всегда готовы помочь и обеспечить вам качественный сервис. 

Если у вас есть конкретные детали о проблеме, сообщите, и мы постараемся помочь вам быстрее! 😊🛠️

Источник: https://goldapple.ru/brands/pour-de-beau?referer=search_brand&search_term=POUR+DE+BEAU&p=1/",0,11148,2026-09-10 09:43:18
13,2026-09-10T12:49:04.238843,123456789,user_***,telegram,Расскажи о себе.,"Здравствуйте! 😊

У нас есть несколько ароматических свечей с бергамотом. Например, свеча ""Muscade-Sauge"" с нотами бергамота и мускатного ореха, а также ""Bergamote-Mousse"", которая сочетает бергамот с мхом. 

Если вас интересует конкретная информация о ценах или характеристиках, дайте знать, и я с радостью помогу! 🕯️

Источник: https://goldapple.ru/brands/pour-de-beau?referer=search_brand&search_term=POUR+DE+BEAU&p=1/",0,7150,2026-09-10 09:49:04
14,2026-09-10T12:49:34.526948,123456789,user_***,telegram,Ты кто?,"Здравствуйте! 👋

Я представляю наш магазин, где вы можете найти разнообразные ароматические свечи, включая те, что с ароматом бергамота. Если у вас есть вопросы о конкретных продуктах или вы хотите узнать больше о нашем ассортименте, не стесняйтесь спрашивать! 🕯️

Как я могу помочь вам сегодня?

Источник: https://goldapple.ru/brands/pour-de-beau?referer=search_brand&search_term=POUR+DE+BEAU&p=1/",0,10986,2026-09-10 09:49:34
15,2026-09-10T13:14:28.662216,123456789,user_***,telegram,/aroma,"Наш магазин представляет широкий выбор ароматов, в том числе: Бергамот-Мох, Мимоза и Лилия, Мускат. Какой аромат Вас интересует?",0,,2026-09-10 10:14:28
16,2026-09-10T13:16:14.036341,123456789,user_***,telegram,Бергамот,"Аромат бергамота действительно обладает замечательными свойствами! 🌿 Он помогает улучшить концентрацию, тонизирует нервную систему и способствует ясности ума. Многие связывают его с повышением производительности и снижением усталости. 

Если вас интересуют свечи с ароматом бергамота или другие продукты, дайте знать, и я помогу вам с выбором! 🕯️",0,13830,2026-09-10 10:16:14
17,2026-09-10T13:16:49.321180,123456789,user_***,telegram,Да свеча,"У нас есть несколько свечей с ароматом бергамота:

1. Свеча Bergamote-Mousse:
   - Вес: 220 г
   - Цена: 7500 руб.
   - Описание: Сложная изысканная композиция зеленых нот, которая приносит в комнату атмосферу леса и свежести.

2. Свеча Muscade-Sauge:
   - Вес: 250 г
   - Цена: 7500 руб.
   - Описание: Сочетание мускатного ореха и шалфея с нотами бергамота, создающее ощущение свежести и комфорта.

Если вам нужна дополнительная информация или помощь с заказом, дайте знать! 🕯️✨

Источник: https://…",0,11255,2026-09-10 10:16:49
18,2026-09-10T13:17:34.192539,123456789,user_***,telegram,Ты кто?,"Здравствуйте! 👋 Я виртуальный ассистент магазина POUR DE BEAU. Вы можете задать мне любой вопрос о нашем товаре текстом или голосом.

Фото товара: подберём похожую позицию в каталоге и дадим ссылку, если совпадение уверенное.
Если товар с браком — опишите проблему текстом или голосом и приложите фото: подключим менеджера.",0,183,2026-09-10 10:17:34
19,2026-09-10T13:18:10.068344,123456789,user_***,telegram,/delivery,Доставка в какой город Вас интересует?,0,,2026-09-10 10:18:10
20,2026-09-10T13:18:35.943291,123456789,user_***,telegram,Питер,"В Санкт-Петербурге мы предлагаем доставку наших ароматических свечей. У нас есть несколько вариантов свечей с ароматом бергамота:

1. Свеча Bergamote-Mousse (220 г) — 7500 руб.
2. Свеча Bergamote-Mousse (1100 г) — 22500 руб.
3. Свеча Bergamote-Mousse (350 г) — 9450 руб.

Если вам нужна помощь с оформлением заказа или есть дополнительные вопросы, дайте знать! 🕯️✨

Источник: https://goldapple.ru/brands/pour-de-beau?referer=search_brand&search_term=POUR+DE+BEAU&p=1

Источник: https://goldapple.ru/b…",0,14257,2026-09-10 10:18:35
21,2026-09-10T13:34:23.776650,123456789,user_***,telegram,/delivery,Доставка в какой город Вас интересует?,0,,2026-09-10 10:34:23
22,2026-09-10T13:37:38.095679,123456789,user_***,telegram,"Какие условия доставки действуют для города «Санкт-Петербург»? Перечисли по фактам конкретно для этого города: способы, сроки, стоимость, зоны (МКАД/КАД и т.п.), интервалы, если они указаны. Не переключайся на товары или ароматы.","В Санкт-Петербурге мы предлагаем несколько удобных способов доставки:

1. Доставка по клику:
   - Вы можете оформить заказ и вызвать курьера, когда вам будет удобно. Доставка осуществляется через 30–60 минут после вызова.
   - Срок хранения заказа — 3 дня.

2. Экспресс-доставка:
   - Вы можете получить свой заказ в течение 2 часов.
   - Стоимость: 399 рублей при заказе до 1 499 рублей и 199 рублей при заказе от 1 500 рублей.
   - Доставка осуществляется в пределах КАД.

3. Самовывоз из офлайн-ма…",0,15946,2026-09-10 10:37:38
23,2026-09-10T13:38:55.004794,123456789,user_***,telegram,Сколько стоит свеча Бергамот МОК 220 грамм?,"Свеча ""Бергамот-Мох"" весом 220 грамм стоит 7500 рублей. Если у вас есть дополнительные вопросы или нужна помощь с оформлением заказа, дайте знать! 🕯️✨

Источник: https://goldapple.ru/brands/pour-de-beau?referer=search_brand&search_term=POUR+DE+BEAU&p=1",0,5926,2026-09-10 10:38:55
24,2026-09-10T13:39:30.960474,123456789,user_***,telegram,Цена свечи мимоза и лилия?,"Свеча ""Мимоза и Лилия"" весом 250 грамм стоит 7500 рублей. Если у вас есть дополнительные вопросы или нужна помощь с оформлением заказа, дайте знать! 🕯️✨

Источник: https://goldapple.ru/brands/pour-de-beau?referer=search_brand&search_term=POUR+DE+BEAU&p=1",0,10887,2026-09-10 10:39:30
25,2026-09-10T13:40:12.553826,123456789,user_***,telegram,Есть ли большие свечи бергамот и мох?,"Да, у нас есть большие свечи с ароматом ""Бергамот и Мох"". Вот их характеристики:

1. Свеча ""Бергамот-Мох"" весом 1250 грамм стоит 22000 рублей.
2. Свеча ""Бергамот-Мох"" весом 350 грамм стоит 9450 рублей.

Если вам нужна дополнительная информация или помощь с оформлением заказа, дайте знать! 🕯️✨

Источник: https://goldapple.ru/brands/pour-de-beau?referer=search_brand&search_term=POUR+DE+BEAU&p=1",0,10770,2026-09-10 10:40:12
26,2026-09-10T13:40:43.196494,123456789,user_***,telegram,Какие ноты у аромата?,"Аромат свечи ""Бергамот и Мох"" включает в себя следующие ноты:

Верхние ноты: мох, бергамот
Средние ноты: розовый перец, пачули, ландыш
Базовые ноты: кожа, ладан, шалфей

Если у вас есть дополнительные вопросы или нужна помощь с выбором, дайте знать! 🕯️✨

Источник: https://goldapple.ru/brands/pour-de-beau?referer=search_brand&search_term=POUR+DE+BEAU&p=1",0,12151,2026-09-10 10:40:43
27,2026-09-10T13:41:18.570129,123456789,user_***,telegram,Чем пахнет muscade-sauge?,"Свеча ""Мускат и Шалфей"" обладает уникальным сочетанием ароматов мускатного ореха и шалфея. Этот аромат дарит ощущение свежести, свободы и спокойствия, создавая атмосферу комфорта и чистоты в вашем пространстве. Если у вас есть дополнительные вопросы или нужна помощь с выбором, дайте знать! 🕯️✨",0,11709,2026-09-10 10:41:18
28,2026-09-10T13:41:59.381674,123456789,user_***,telegram,Сколько стоит свеча?,"Свечи в нашем ассортименте стоят от 7500 до 22500 рублей в зависимости от размера и аромата. Например:

Свеча ""Мимоза и Лилия"" (250 г) — 7500 руб.
Свеча ""Бергамот-Мох"" (1250 г) — 22000 руб.

Если вам нужна информация о конкретной свече или помощь с оформлением заказа, дайте знать! 🕯️✨

Источник: https://goldapple.ru/brands/pour-de-beau?referer=search_brand&search_term=POUR+DE+BEAU&p=1

Источник: https://goldapple.ru/brands/pour-de-beau?referer=search_brand&search_term=POUR+DE+BEAU&p=1",0,10842,2026-09-10 10:41:59
29,2026-09-10T13:42:35.759517,123456789,user_***,telegram,Какая цена у ваниль-ветивер?,"Свеча ""Ваниль-Ветивер"" стоит 7500 рублей за 220 грамм, 9450 рублей за 350 грамм и 22500 рублей за 1100 грамм. Если вам нужна помощь с оформлением заказа или есть дополнительные вопросы, дайте знать! 🕯️✨",0,11673,2026-09-10 10:42:35
30,2026-09-10T13:43:53.370343,123456789,user_***,telegram,Какие ноты у ваниль витивер?,"Аромат свечи ""Ваниль-Ветивер"" включает в себя следующие ноты:

Верхние ноты: бобы тонка, ветивер
Средние ноты: кокос, сандал, сливки
Базовые ноты: бурбонская ваниль

Если у вас есть дополнительные вопросы или нужна помощь с выбором, дайте знать! 🕯️✨",0,11355,2026-09-10 10:43:53
31,2026-09-10T13:46:28.621657,123456789,user_***,telegram,/delivery,Доставка в какой город Вас интересует?,0,,2026-09-10 10:46:28
32,2026-09-10T13:46:47.199440,123456789,user_***,telegram,"Какие условия доставки действуют для города «Москва»? Перечисли по фактам конкретно для этого города: способы, сроки, стоимость, зоны (МКАД/КАД и т.п.), интервалы, если они указаны. Не переключайся на товары или ароматы.","В Москве мы предлагаем несколько удобных способов доставки:

1. Доставка по клику:
   - Вы можете оформить заказ и вызвать курьера, когда вам будет удобно. Доставка осуществляется через 30–60 минут после вызова.
   - Срок хранения заказа — 3 дня.

2. Экспресс-доставка:
   - Вы можете получить свой заказ в течение 2 часов.
   - Стоимость: 399 рублей при заказе до 1 499 рублей и 249 рублей при заказе от 1 500 рублей.
   - Доставка осуществляется в пределах МКАД.

3. Быстрая доставка из магазина:
 …",0,13692,2026-09-10 10:46:47
33,2026-09-10T13:47:34.941527,123456789,user_***,telegram,Сколько стоит экспресс-доставка в Санкт-Петербург при заказе от полутора тысяч рублей?,"Экспресс-доставка в Санкт-Петербург при заказе от 1500 рублей стоит 199 рублей. Вы сможете получить свой заказ в течение 3 часов. Если у вас есть дополнительные вопросы или нужна помощь с оформлением заказа, дайте знать! 😊",0,7176,2026-09-10 10:47:34
34,2026-09-10T13:48:07.998832,123456789,user_***,telegram,/aroma,"Наш магазин представляет широкий выбор ароматов, в том числе: Бергамот-Мох, Мимоза и Лилия, Мускат. Какой аромат Вас интересует?",0,,2026-09-10 10:48:07
35,2026-09-10T13:48:38.083536,123456789,user_***,telegram,Бергамот-мох,"Свеча ""Бергамот и Мох"" обладает уникальным ароматом, который сочетает в себе верхние ноты шалфея и мускатного ореха, средние ноты ветивера и бергамота, а также базовые ноты табака и бобов тонка. Этот аромат расслабляет и создает атмосферу свободы и спокойствия, наполняя ваше пространство ощущением комфорта и чистоты.

Свеча имеет вес 250 грамм, время горения до 45 часов и стоит 7500 рублей. Если вам нужна дополнительная информация или помощь с оформлением заказа, дайте знать! 🕯️✨",0,11851,2026-09-10 10:48:38
36,2026-09-10T13:49:41.389113,123456789,user_***,telegram,Какой аромат порекомендуешь для бодрости?,"Для бодрости я рекомендую свечу ""Мимоза и Лилия"". Этот аромат наполнен весенними нотами мимозы и лилии, которые создают легкое и в то же время насыщенное ощущение свежести и пробуждения природы. 

Также обратите внимание на свечу ""Мускат и Шалфей"", которая дарит уникальное ощущение свежести и свободы, создавая атмосферу комфорта и чистоты.

Если вам нужна дополнительная информация или помощь с выбором, дайте знать! 🌼✨

Источник: https://goldapple.ru/brands/pour-de-beau?referer=search_brand&searc…",0,11156,2026-09-10 10:49:41
37,2026-09-10T13:50:26.242499,123456789,user_***,telegram,У вас есть одеяло?,"К сожалению, в нашем ассортименте нет одеял. Мы специализируемся на ароматических свечах и других товарах, связанных с ароматами. Если вас интересуют наши свечи или есть другие вопросы, дайте знать! 🕯️✨

Источник: https://goldapple.ru/brands/pour-de-beau?referer=search_brand&search_term=POUR+DE+BEAU&p=1/",0,11113,2026-09-10 10:50:26
38,2026-09-10T13:51:02.408114,123456789,user_***,telegram,Можешь заказать пиццу?,"К сожалению, мы не занимаемся доставкой пиццы. Мы специализируемся на продаже ароматических свечей и других товаров. Если вам нужна помощь с выбором свечи или оформлением заказа, дайте знать! 🕯️✨",0,12791,2026-09-10 10:51:02
39,2026-09-10T16:42:02.203133,123456789,user_***,telegram,/manager,"Хорошо. Напишите одним сообщением, что нужно уточнить у менеджера (заказ, товар, претензия) — я сразу передам.",0,,2026-09-10 13:42:02
40,2026-09-10T16:42:28.395354,123456789,user_***,telegram,Товар,"Передала ваше обращение менеджеру. Он ответит в этом чате. Если есть номер заказа или подробности — напишите их следом, это ускорит ответ.",0,,2026-09-10 13:42:28
41,2026-09-10T16:44:28.745619,123456789,user_***,telegram,Брак,"Если у вас возникли проблемы с товаром, пожалуйста, напишите, что именно не так, и мы постараемся помочь вам решить этот вопрос. Вы можете также указать номер заказа, если он у вас есть. Мы ценим ваше время и сделаем все возможное, чтобы помочь! 😊

Источник: https://goldapple.ru/brands/pour-de-beau?referer=search_brand&search_term=POUR+DE+BEAU&p=1/",0,16411,2026-09-10 13:44:28
42,2026-09-10T16:48:48.331943,123456789,user_***,telegram_photo,"Бракованный товар
Брак","Вижу, что с товаром что-то не так. Передаю ваше обращение менеджеру — он свяжется с вами в этом чате и поможет с заменой или возвратом. Если есть номер заказа или чек — напишите, это ускорит решение.",0,142,2026-09-10 13:48:48
43,2026-09-10T16:49:38.307275,123456789,user_***,telegram,Заказ 113 два года назад купила,"Если ваш заказ был оформлен два года назад, то, к сожалению, мы не можем предоставить информацию о нем. У нас есть возможность только онлайн-оплаты при оформлении заказа, и все детали по старым заказам могут быть недоступны. 

Если у вас есть конкретные вопросы или нужна помощь с новым заказом, дайте знать! 😊",0,13070,2026-09-10 13:49:38
44,2026-09-10T16:50:13.108957,123456789,user_***,telegram_photo,"Брак
Заказ 113 два года назад купила","Вижу, что с товаром что-то не так. Передаю ваше обращение менеджеру — он свяжется с вами в этом чате и поможет с заменой или возвратом. Если есть номер заказа или чек — напишите, это ускорит решение.",0,220,2026-09-10 13:50:13
45,2026-09-10T16:54:38.196936,123456789,user_***,telegram_photo,Брак,"Вижу, что с товаром что-то не так. Передаю ваше обращение менеджеру — он свяжется с вами в этом чате и поможет с заменой или возвратом. Если есть номер заказа или чек — напишите, это ускорит решение.",0,287,2026-09-10 13:54:38
